"Ensembl_ID","Gene_symbol","Log_FoldChange","logCPM","PValue","AdjPValue","Power","BCOV"
"ENSG00000161921","CXCL16",-1.023,4.598,2.90449526006843e-12,2.53266506498231e-10,1,0.268
"ENSG00000105329","TGFB1",-1.32,3.607,2.96769954042202e-12,2.5756288124057e-10,1,0.342
"ENSG00000130707","ASS1",-1.488,10.308,3.38223767899763e-12,2.92168438009113e-10,1,0.392
"ENSG00000244187","TMEM141",1.07,4.371,3.60365877297623e-12,3.09847609661575e-10,1,0.28
"ENSG00000101109","STK4",-0.868,3.503,3.65699285442642e-12,3.11535345193211e-10,1,0.224
"ENSG00000173898","SPTBN2",-1.399,5.501,3.64461284987957e-12,3.11535345193211e-10,1,0.369
"ENSG00000171132","PRKCE",1.936,2.807,3.77155828805577e-12,3.19821222536693e-10,1,0.493
"ENSG00000100979","PLTP",-1.34,3.898,3.89850433462424e-12,3.2907648917746e-10,1,0.351
"ENSG00000232196","MTRNR2L4",2.504,-1.405,4.57301700546027e-12,3.84258147104266e-10,0.971,0.538
"ENSG00000114127","XRN1",-1.124,3.735,5.01800331676948e-12,4.19741218614483e-10,1,0.296
"ENSG00000251562","MALAT1",5.148,10.112,5.09816450889069e-12,4.24525536537628e-10,1,1.14
"ENSG00000169740","ZNF32",1.001,2.819,5.30861163917986e-12,4.40067241084658e-10,1,0.257
"ENSG00000185900","POMK",-2.729,-0.876,5.36497991642508e-12,4.42754547924259e-10,0.998,0.592
"ENSG00000183889","NPIPA5",-2.392,0.792,5.6509441894176e-12,4.62227231352096e-10,1,0.592
"ENSG00000196498","NCOR2",-1.183,5.117,5.6450557610104e-12,4.62227231352096e-10,1,0.315
"ENSG00000100150","DEPDC5",-1.041,2.673,5.75127966331367e-12,4.68361920070558e-10,1,0.268
"ENSG00000088247","KHSRP",-0.958,5.347,5.83952061706449e-12,4.73462184767782e-10,1,0.256
"ENSG00000203747","FCGR3A",-1.743,4.847,5.99419440578475e-12,4.83880689018938e-10,1,0.46
"ENSG00000154133","ROBO4",-1.157,3.234,6.10434619869933e-12,4.90630190561547e-10,1,0.303
"ENSG00000153071","DAB2",-1.004,3.906,6.13681014658231e-12,4.9110420939273e-10,1,0.265
"ENSG00000178573","MAF",-1.311,5.213,6.26697015896983e-12,4.97929765868536e-10,1,0.349
"ENSG00000130303","BST2",1.28,6.478,6.27597292261002e-12,4.97929765868536e-10,1,0.339
"ENSG00000174600","CMKLR1",-1.259,2.338,6.36917122548163e-12,5.03164526813049e-10,1,0.322
"ENSG00000135636","DYSF",-1.205,4.652,7.15562080803249e-12,5.62888537265058e-10,1,0.322
"ENSG00000160111","CPAMD8",-1.564,0.859,7.21136117895575e-12,5.64869587941424e-10,0.999,0.373
"ENSG00000134516","DOCK2",-1.437,2.081,7.46933316095138e-12,5.82607986554208e-10,1,0.369
"ENSG00000120549","KIAA1217",-1.065,3.831,7.89626407135453e-12,6.13320746315378e-10,1,0.283
"ENSG00000113555","PCDH12",-1.379,2.568,8.10007776850645e-12,6.26518985893766e-10,1,0.362
"ENSG00000006327","TNFRSF12A",2.603,0.354,9.47374119032663e-12,7.29714915184909e-10,1,0.638
"ENSG00000095970","TREM2",3.924,-0.68,9.55223661705215e-12,7.32708075115461e-10,1,0.882
