TFAP2A	MPG
ATF6	HSPA5
ATF1	TGFB2
MYC	CAD
IRF8	NCF2
EGR1	TP73
ERG	ICAM2
SP1	NOS3
CTCF	APP
NFKB1	BCL2L1
RELA	BCL2L1
SREBF1	FASN
CREM	IL2
MITF	TYR
HIF1A	SERPINE1
MYB	CCNA1
E2F1	CDKN2A
E2F1	CCNA2
RUNX1	ETV6
TP53	TNFRSF10B
TP53	BRCA1
MYC	HMOX1
SMAD3	CDKN1A
WT1	TERT
FOS	IL2
AR	CDKN1A
TP53	TP63
EGR1	IGF2
WT1	IGF2
MYC	NCL
ETS1	PTHLH
SP1	FMR1
TFAP2A	FMR1
TP53	TGFB1
TP53	GDF15
SP1	SRC
SMAD1	SPP1
CTCF	MYC
HNF4A	CYP7A1
RARA	RARB
CEBPB	PTGS2
PPARA	LPL
NEUROD1	INS
REST	GRIN1
SP1	CCL2
TFAP2A	ERBB2
CEBPB	PRL
RELA	FN1
NFKB1	FN1
PGR	MYC
STAT1	CIITA
ETS1	PRL
FOXA2	PDX1
SNAI1	CDH1
SP1	IL10
STAT6	ALOX15
FOS	CD44
JUN	CD44
JUN	PTGS2
EGR1	FLT1
SP1	SOD2
SP1	CETP
HNF4A	GH1
CDX2	LCT
SPI1	PRTN3
NR5A1	AMH
VDR	BGLAP
HIF1A	NOS2
TP53	CAV1
FOS	MMP1
SP1	PLAUR
E2F1	SERPINE1
TP53	SERPINB5
MYB	BCL2
NR5A1	POU5F1
EGR1	CHRNA7
PAX8	TPO
ETS1	CTSB
SP3	CTSB
IRF1	IFNB1
ARNT	VEGFA
STAT4	MYC
MYC	IL2
KLF12	TFAP2A
CEBPA	DEFA3
REL	ICAM1
SMAD3	TGFB1
GATA2	NOS3
PRDM1	MYC
YY1	MYC
IRF1	CCL5
SP1	RELA
SP1	IGF1R
POU2F1	HBG1
SP3	ITGAD
SP1	ITGAD
TP53	PERP
MYC	FASLG
SPI1	TLR4
STAT3	GFAP
ESR1	LTF
WT1	AMH
STAT3	VEGFA
PPARA	CYP7A1
TP53	ABCB1
LEF1	MITF
HNF1A	SLC2A2
TP53	BDKRB2
CEBPA	IL6
CEBPD	IL6
KLF4	CDKN1A
ESR1	IGF1
CREB1	BCL2
WT1	CDH1
CEBPB	TNF
EGR2	FASLG
TFDP1	CCNE1
NEUROG3	NEUROD1
TBX21	IFNG
IRF1	PSMB9
STAT1	PSMB9
HNF1A	G6PC1
SP1	TGFBR2
FOXA2	HHEX
NR5A1	MC2R
SP1	COL1A2
STAT1	CD86
SP1	AR
GABPA	BRCA1
ELF3	SPRR2A
TP53	DKK1
HIF1A	CP
PPARA	ACSL1
SP1	VIM
TP53	TERT
SP1	TERT
HNF1A	UGT2B7
POU2F1	UGT2B7
JUN	MMP13
JUND	MMP13
EGR1	FN1
EGR1	SERPINE1
EGR1	TGFB1
FOXO4	CDKN1B
HNF4A	PKLR
TP53	ABCC1
SP1	TNFRSF8
CEBPD	TNF
SREBF1	ACLY
SREBF2	ACLY
SP1	SCARB1
JUN	EGFR
FOS	EGFR
JUNB	EGFR
ESR2	TERT
STAT3	SOCS1
SP1	VEGFA
SP3	VEGFA
STAT1	MMP9
JUN	CXCL8
STAT1	FCGR1A
IRF1	SOCS1
STAT1	SOCS1
SPI1	CD40
SPIB	CD40
SP1	PTGS2
ETS1	CDH5
TP53	CD82
STAT1	ICAM1
STAT3	ICAM1
ESR1	PRL
SP1	EGFR
RELA	SERPINE1
CEBPD	PTGS2
EGR1	TH
SMAD4	TGFB1
SP1	SMAD7
SP1	VDR
SP1	LTF
